# { 't_start': 1764629061.984163, 'env_id': 'MiniGrid-Dynamic-Cardinal' }
r,l,t
0.96484375,10,1.7909009456634521
0.961328125,11,1.7933578491210938
0.947265625,15,1.7964859008789062
0.96484375,10,1.8011188507080078
0.961328125,11,1.803656816482544
0.961328125,11,1.807945966720581
0.96484375,10,1.810154914855957
0.961328125,11,1.8125717639923096
0.947265625,15,1.815802812576294
0.96484375,10,1.8179728984832764
-1,10,1.8202168941497803
0.9578125,12,1.8229057788848877
0.947265625,15,1.8261809349060059
0.96484375,10,1.8283357620239258
0.947265625,15,1.8318259716033936
0.95078125,14,1.8349449634552002
0.93671875,18,1.8389530181884766
0.96484375,10,1.8411788940429688
0.954296875,13,1.8440020084381104
0.96484375,10,1.8463799953460693
0.95078125,14,1.8496849536895752
0.9578125,12,1.8523027896881104
0.95078125,14,1.8571860790252686
0.940234375,17,1.864717721939087
0.9578125,12,1.8670969009399414
0.954296875,13,1.8697867393493652
0.961328125,11,1.8723080158233643
0.94375,16,1.8758227825164795
-1,1,1.8762130737304688
0.9578125,12,1.8789358139038086
0.947265625,15,1.8822128772735596
0.96484375,10,1.8843820095062256
0.961328125,11,1.8868610858917236
0.961328125,11,1.889280080795288
-1,6,1.8909540176391602
0.96484375,10,1.8930668830871582
0.961328125,11,1.8964149951934814
0.961328125,11,1.898831844329834
0.961328125,11,1.901257038116455
0.961328125,11,1.9044208526611328
0.961328125,11,1.90696382522583
0.96484375,10,1.9091367721557617
0.954296875,13,1.9119138717651367
0.947265625,15,1.915092945098877
0.933203125,19,1.9198698997497559
0.9578125,12,1.9225108623504639
0.93671875,18,1.9263219833374023
0.961328125,11,1.9292888641357422
0.961328125,11,1.9318268299102783
0.961328125,11,1.9342708587646484
0.96484375,10,1.9364268779754639
0.9578125,12,1.9428119659423828
0.961328125,11,1.94527006149292
0.9578125,12,1.9478278160095215
-1,1,1.9481730461120605
0.96484375,10,1.9501988887786865
0.961328125,11,1.9527108669281006
0.9578125,12,1.9552860260009766
0.954296875,13,1.958132028579712
0.96484375,10,1.9602508544921875
0.954296875,13,1.9630630016326904
0.961328125,11,1.9676048755645752
0.961328125,11,1.9719817638397217
0.96484375,10,1.9740149974822998
0.9578125,12,1.9764790534973145
0.9578125,12,1.9792969226837158
0.96484375,10,1.9824938774108887
0.96484375,10,1.987412929534912
-1,8,1.9895238876342773
0.954296875,13,1.9922339916229248
0.93671875,18,1.99615478515625
0.96484375,10,1.9982218742370605
0.933203125,19,2.0021309852600098
0.961328125,11,2.0044538974761963
0.919140625,23,2.009450912475586
0.96484375,10,2.0116539001464844
0.93671875,18,2.016462802886963
0.96484375,10,2.021498918533325
0.96484375,10,2.0251688957214355
0.898046875,29,2.0314149856567383
-1,1,2.0318939685821533
0.954296875,13,2.0347137451171875
0.947265625,15,2.0393218994140625
0.961328125,11,2.0419018268585205
0.9578125,12,2.044651985168457
-1,13,2.0477659702301025
0.96484375,10,2.049938917160034
0.96484375,10,2.052098035812378
0.96484375,10,2.0542500019073486
0.9578125,12,2.057114839553833
0.96484375,10,2.0593528747558594
0.940234375,17,2.063166856765747
0.961328125,11,2.065526008605957
0.96484375,10,2.067706823348999
0.926171875,21,2.0725297927856445
0.94375,16,2.0759947299957275
0.96484375,10,2.078239917755127
0.954296875,13,2.081220865249634
0.93671875,18,2.0849878787994385
0.96484375,10,2.0872578620910645
0.961328125,11,2.0906639099121094
0.96484375,10,2.0950820446014404
0.96484375,10,2.0995988845825195
0.96484375,10,2.1018118858337402
0.96484375,10,2.1038777828216553
0.9578125,12,2.1064558029174805
0.954296875,13,2.1093130111694336
0.933203125,19,2.1133198738098145
0.947265625,15,2.1164979934692383
0.961328125,11,2.11883282661438
0.961328125,11,2.121262788772583
0.96484375,10,2.123440742492676
0.9578125,12,2.1260690689086914
0.954296875,13,2.128680944442749
0.954296875,13,2.1315078735351562
0.954296875,13,2.1344220638275146
0.9578125,12,2.1372077465057373
0.9578125,12,2.1399078369140625
0.96484375,10,2.142016887664795
0.94375,16,2.1453588008880615
0.961328125,11,2.1495680809020996
0.96484375,10,2.1542489528656006
0.95078125,14,2.1575701236724854
0.961328125,11,2.159977912902832
0.9578125,12,2.1626360416412354
0.940234375,17,2.1662700176239014
0.96484375,10,2.168505907058716
0.961328125,11,2.170870065689087
0.96484375,10,2.1736650466918945
0.940234375,17,2.177324056625366
0.961328125,11,2.1796159744262695
0.9578125,12,2.1822967529296875
0.96484375,10,2.185553789138794
0.94375,16,2.188922882080078
0.947265625,15,2.1922929286956787
0.947265625,15,2.1966898441314697
0.947265625,15,2.1999707221984863
0.96484375,10,2.204385995864868
0.9578125,12,2.207129716873169
0.947265625,15,2.210223913192749
0.96484375,10,2.2123630046844482
0.961328125,11,2.2155709266662598
0.947265625,15,2.2227978706359863
0.961328125,11,2.2278547286987305
0.96484375,10,2.2302117347717285
0.93671875,18,2.2342278957366943
0.954296875,13,2.2370917797088623
0.93671875,18,2.2409448623657227
0.961328125,11,2.243358850479126
0.9578125,12,2.2474308013916016
0.96484375,10,2.2498559951782227
0.9578125,12,2.252497911453247
0.96484375,10,2.260685682296753
0.961328125,11,2.2680089473724365
0.94375,16,2.2717247009277344
0.961328125,11,2.2741377353668213
0.94375,16,2.27790904045105
0.9578125,12,2.2806289196014404
0.94375,16,2.2839479446411133
0.96484375,10,2.2861709594726562
0.961328125,11,2.288679838180542
0.9578125,12,2.2913808822631836
0.93671875,18,2.2955949306488037
0.9578125,12,2.2986979484558105
0.961328125,11,2.301135778427124
0.96484375,10,2.303283929824829
0.96484375,10,2.305468797683716
0.9578125,12,2.308243989944458
0.961328125,11,2.3200058937072754
0.961328125,11,2.3312389850616455
0.933203125,19,2.3403148651123047
0.926171875,21,2.344813823699951
0.961328125,11,2.3473517894744873
0.940234375,17,2.3511900901794434
0.947265625,15,2.354407787322998
0.96484375,10,2.356562852859497
0.9578125,12,2.3592209815979004
0.940234375,17,2.362959861755371
0.961328125,11,2.365543842315674
0.96484375,10,2.3676507472991943
0.940234375,17,2.3713438510894775
0.94375,16,2.3749449253082275
-1,1,2.3752830028533936
0.954296875,13,2.3783369064331055
0.95078125,14,2.3814239501953125
0.926171875,21,2.3863039016723633
0.961328125,11,2.38885498046875
0.961328125,11,2.391375780105591
0.9578125,12,2.397148847579956
0.95078125,14,2.403455972671509
0.95078125,14,2.4088099002838135
0.9578125,12,2.4113998413085938
0.954296875,13,2.4148170948028564
0.93671875,18,2.418691873550415
0.9578125,12,2.421229839324951
0.933203125,19,2.425218105316162
0.9578125,12,2.4278669357299805
0.96484375,10,2.4301037788391113
0.954296875,13,2.432811975479126
0.9578125,12,2.435370922088623
0.95078125,14,2.438384771347046
0.96484375,10,2.440659999847412
-1,11,2.4431700706481934
0.961328125,11,2.4455947875976562
0.954296875,13,2.4486348628997803
0.954296875,13,2.451692819595337
0.96484375,10,2.453918933868408
0.96484375,10,2.4561190605163574
0.947265625,15,2.459322929382324
0.961328125,11,2.4617390632629395
0.940234375,17,2.4652957916259766
0.947265625,15,2.4683117866516113
0.96484375,10,2.47043776512146
0.926171875,21,2.4780800342559814
0.947265625,15,2.481367826461792
0.954296875,13,2.4841721057891846
0.94375,16,2.4898288249969482
0.95078125,14,2.493769884109497
0.947265625,15,2.4969217777252197
0.947265625,15,2.500070810317993
0.961328125,11,2.5024709701538086
0.954296875,13,2.5064568519592285
0.9578125,12,2.5105390548706055
0.96484375,10,2.512805938720703
0.96484375,10,2.514896869659424
0.94375,16,2.5188329219818115
0.96484375,10,2.5213418006896973
0.96484375,10,2.52367901802063
0.95078125,14,2.5267720222473145
0.96484375,10,2.5323541164398193
0.961328125,11,2.5347228050231934
0.96484375,10,2.5369198322296143
0.926171875,21,2.544128894805908
0.947265625,15,2.547200918197632
0.96484375,10,2.5494508743286133
0.954296875,13,2.552396059036255
0.96484375,10,2.554471969604492
0.96484375,10,2.557020902633667
0.9578125,12,2.55975604057312
0.961328125,11,2.562222719192505
0.93671875,18,2.5658538341522217
0.926171875,21,2.573975086212158
0.961328125,11,2.5808849334716797
0.96484375,10,2.5829498767852783
0.954296875,13,2.585709810256958
0.961328125,11,2.5881710052490234
0.961328125,11,2.590690851211548
0.9578125,12,2.5932140350341797
0.954296875,13,2.5958940982818604
0.9578125,12,2.5986368656158447
0.96484375,10,2.6054437160491943
0.9578125,12,2.6089699268341064
0.96484375,10,2.615738868713379
0.961328125,11,2.6181230545043945
0.961328125,11,2.6205809116363525
0.93671875,18,2.625119924545288
0.92265625,22,2.634910821914673
0.954296875,13,2.640544891357422
0.9296875,20,2.644582986831665
0.947265625,15,2.6477420330047607
0.9578125,12,2.653517007827759
0.9578125,12,2.655946969985962
0.9578125,12,2.660310983657837
0.940234375,17,2.6637368202209473
0.947265625,15,2.672616958618164
0.947265625,15,2.6868739128112793
0.95078125,14,2.6900570392608643
0.94375,16,2.694283962249756
0.96484375,10,2.696401834487915
0.954296875,13,2.699262857437134
0.93671875,18,2.7038278579711914
0.954296875,13,2.7066118717193604
0.961328125,11,2.7101917266845703
0.96484375,10,2.712890863418579
0.954296875,13,2.715650796890259
0.954296875,13,2.720172882080078
0.905078125,27,2.727073907852173
0.95078125,14,2.730067014694214
0.96484375,10,2.732171058654785
0.9296875,20,2.737205982208252
-1,2,2.7378039360046387
0.9578125,12,2.742729902267456
0.954296875,13,2.7455639839172363
0.96484375,10,2.7477078437805176
0.954296875,13,2.750398874282837
0.93671875,18,2.7544429302215576
0.9578125,12,2.757084846496582
0.96484375,10,2.7592618465423584
0.96484375,10,2.7615768909454346
0.96484375,10,2.763658046722412
0.961328125,11,2.7659378051757812
0.95078125,14,2.7719008922576904
0.9578125,12,2.7766127586364746
0.961328125,11,2.779160737991333
0.96484375,10,2.7813968658447266
0.961328125,11,2.783998966217041
0.95078125,14,2.7910070419311523
0.954296875,13,2.7936887741088867
0.96484375,10,2.795825958251953
0.94375,16,2.800212860107422
0.961328125,11,2.804171085357666
0.961328125,11,2.8072509765625
-1,2,2.8078510761260986
0.95078125,14,2.810934066772461
0.96484375,10,2.81312894821167
0.93671875,18,2.820284843444824
0.96484375,10,2.823164939880371
0.96484375,10,2.825544834136963
0.95078125,14,2.8285880088806152
0.947265625,15,2.834303855895996
0.95078125,14,2.841132879257202
0.96484375,10,2.8434438705444336
0.93671875,18,2.847156047821045
0.96484375,10,2.8494129180908203
0.940234375,17,2.8532538414001465
0.96484375,10,2.855440855026245
0.94375,16,2.858867883682251
-1,2,2.859480857849121
-1,6,2.8609299659729004
0.954296875,13,2.8638558387756348
0.96484375,10,2.8661937713623047
0.9578125,12,2.8687868118286133
0.933203125,19,2.872870922088623
0.95078125,14,2.8759469985961914
0.961328125,11,2.878436803817749
0.94375,16,2.8820297718048096
0.96484375,10,2.8842129707336426
0.9578125,12,2.8869688510894775
0.96484375,10,2.8898708820343018
0.94375,16,2.8975276947021484
0.95078125,14,2.9020040035247803
